"module name","license","repository"
"@ampproject/remapping@1.0.1","Apache-2.0","https://github.com/ampproject/remapping"
"@angular-devkit/architect@0.1202.1","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/build-angular@12.2.1","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/build-optimizer@0.1202.1","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/build-webpack@0.1202.1","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/core@12.0.0","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/core@12.2.0","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/core@12.2.1","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/schematics@12.0.0","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/schematics@12.2.0","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/schematics@12.2.1","MIT","https://github.com/angular/angular-cli"
"@angular/animations@12.2.1","MIT","https://github.com/angular/angular"
"@angular/cdk@12.2.1","MIT","https://github.com/angular/components"
"@angular/cli@12.2.1","MIT","https://github.com/angular/angular-cli"
"@angular/common@12.2.1","MIT","https://github.com/angular/angular"
"@angular/compiler-cli@12.2.1","MIT","https://github.com/angular/angular"
"@angular/compiler@12.2.1","MIT","https://github.com/angular/angular"
"@angular/core@12.2.1","MIT","https://github.com/angular/angular"
"@angular/forms@12.2.1","MIT","https://github.com/angular/angular"
"@angular/platform-browser-dynamic@12.2.1","MIT","https://github.com/angular/angular"
"@angular/platform-browser@12.2.1","MIT","https://github.com/angular/angular"
"@angular/platform-server@12.2.1","MIT","https://github.com/angular/angular"
"@angular/router@12.2.1","MIT","https://github.com/angular/angular"
"@assemblyscript/loader@0.10.1","Apache-2.0","https://github.com/AssemblyScript/assemblyscript"
"@babel/code-frame@7.14.5","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.15.0","MIT","https://github.com/babel/babel"
"@babel/core@7.14.8","MIT","https://github.com/babel/babel"
"@babel/core@7.15.0","MIT","https://github.com/babel/babel"
"@babel/generator@7.14.8","MIT","https://github.com/babel/babel"
"@babel/generator@7.15.0","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-builder-binary-assignment-operator-visitor@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.15.0","MIT","https://github.com/babel/babel"
"@babel/helper-create-class-features-plugin@7.15.0","MIT","https://github.com/babel/babel"
"@babel/helper-create-regexp-features-plugin@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-define-polyfill-provider@0.2.3","MIT","https://github.com/babel/babel-polyfills"
"@babel/helper-explode-assignable-expression@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-function-name@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-get-function-arity@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-hoist-variables@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-member-expression-to-functions@7.15.0","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.15.0","MIT","https://github.com/babel/babel"
"@babel/helper-optimise-call-expression@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-remap-async-to-generator@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-replace-supers@7.15.0","MIT","https://github.com/babel/babel"
"@babel/helper-simple-access@7.14.8","MIT","https://github.com/babel/babel"
"@babel/helper-skip-transparent-expression-wrappers@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-split-export-declaration@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.14.9","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-wrap-function@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helpers@7.14.8","MIT","https://github.com/babel/babel"
"@babel/highlight@7.14.5","MIT","https://github.com/babel/babel"
"@babel/parser@7.15.0","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-async-generator-functions@7.14.7","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-class-properties@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-class-static-block@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-dynamic-import@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-export-namespace-from@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-json-strings@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-logical-assignment-operators@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-nullish-coalescing-operator@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-numeric-separator@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-object-rest-spread@7.14.7","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-optional-catch-binding@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-optional-chaining@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-private-methods@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-private-property-in-object@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-unicode-property-regex@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-async-generators@7.8.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators"
"@babel/plugin-syntax-class-properties@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-class-static-block@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-dynamic-import@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import"
"@babel/plugin-syntax-export-namespace-from@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-export-namespace-from"
"@babel/plugin-syntax-json-strings@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-json-strings"
"@babel/plugin-syntax-logical-assignment-operators@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-nullish-coalescing-operator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-nullish-coalescing-operator"
"@babel/plugin-syntax-numeric-separator@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-object-rest-spread@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread"
"@babel/plugin-syntax-optional-catch-binding@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-catch-binding"
"@babel/plugin-syntax-optional-chaining@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining"
"@babel/plugin-syntax-private-property-in-object@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-top-level-await@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-arrow-functions@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-async-to-generator@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-block-scoped-functions@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-block-scoping@7.15.3","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-classes@7.14.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-computed-properties@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-destructuring@7.14.7","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-dotall-regex@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-duplicate-keys@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-exponentiation-operator@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-for-of@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-function-name@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-literals@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-member-expression-literals@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-amd@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-commonjs@7.15.0","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-systemjs@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-umd@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-named-capturing-groups-regex@7.14.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-new-target@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-object-super@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-parameters@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-property-literals@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-regenerator@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-reserved-words@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-runtime@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-shorthand-properties@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-spread@7.14.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-sticky-regex@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-template-literals@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-typeof-symbol@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-escapes@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-regex@7.14.5","MIT","https://github.com/babel/babel"
"@babel/preset-env@7.14.8","MIT","https://github.com/babel/babel"
"@babel/preset-modules@0.1.4","MIT",""
"@babel/runtime@7.14.8","MIT","https://github.com/babel/babel"
"@babel/template@7.14.5","MIT","https://github.com/babel/babel"
"@babel/traverse@7.15.0","MIT","https://github.com/babel/babel"
"@babel/types@7.15.0","MIT","https://github.com/babel/babel"
"@csstools/convert-colors@1.4.0","CC0-1.0","https://github.com/jonathantneal/convert-colors"
